state_id,Thefts Last Week,Thefts Last 30 Days,Thefts Previous 30 Days,Theft Last Six Months,Robbery Last Week,Robbery Last 30 Days,Robbery Last Six Months,Burglary Last Week,Burglary Last 30 Days,Burglary Previous 30 Days,Burglary Last Six Months,Vandalism Last Week,Vandalism Last 30 Days,Vandalism Previous 30 Days,Vandalism Last Six Months,Shooting Last Week,Shooting Last 30 Days,Shooting Previous 30 Days,Shooting Last Six Months,Arson Last Week,Arson Last 30 Days,Arson Previous 30 Days,Arson Last Six Months,Arrest Last Week,Arrest Last 30 Days,Arrest Previous 30 Days,Arrest Last Six Months,Assault Last Week,Assault Last 30 Days,Assault Previous 30 Days,Assault Last Six Months,Other Last Week,Other Last 30 Days,Other Previous 30 Days,Other Last Six Months
CA,49,656,809,4723,2,26,42,268,10,217,305,1892,3,85,124,758,4,25,17,119,0,2,5,31,13,82,142,740,20,141,162,1195,79,881,1127,6299
CA,13,58,50,297,0,5,5,33,15,64,62,360,3,8,7,59,1,3,0,15,0,0,0,0,0,3,6,36,1,14,5,47,34,207,231,1279
CA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CA,3,62,95,394,1,9,23,110,1,46,81,500,0,0,0,3,0,3,4,40,0,0,4,13,0,0,4,12,0,2,4,37,3,24,10,198
CA,4,91,75,1087,0,2,5,55,1,16,11,229,0,31,27,354,0,8,0,12,0,0,0,6,0,48,32,464,1,26,16,456,18,135,120,709
CA,1,185,181,1088,0,15,18,93,0,21,43,278,0,21,23,129,0,9,21,99,0,0,0,3,0,13,25,115,0,71,105,469,1,106,123,670
CA,0,6,7,34,0,0,0,1,0,5,2,16,1,1,1,8,0,1,0,6,0,0,0,0,0,3,4,24,3,5,3,21,4,26,22,131
CA,32,88,44,535,0,3,0,14,8,26,12,132,6,24,23,175,4,12,10,90,0,0,2,2,7,24,20,156,13,58,38,363,95,368,242,2010
CA,13,154,161,1415,1,8,14,85,4,44,62,458,2,14,17,184,0,2,3,14,0,1,0,7,4,16,39,146,13,63,48,415,13,106,137,873
CA,7,31,34,200,0,1,1,8,1,2,9,30,5,16,3,64,0,0,0,0,0,0,0,0,1,8,2,26,1,8,20,95,27,177,199,1142
CA,0,19,30,162,0,0,0,1,0,4,3,41,0,2,7,61,0,2,0,10,0,0,0,0,0,6,9,49,2,19,31,147,5,80,114,657
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,2,12,14,66,0,1,0,2,1,3,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,95,484,511,2804
CA,4,26,36,205,0,0,0,3,0,0,5,9,0,4,5,34,0,0,5,20,0,0,0,1,2,17,21,140,4,25,47,192,6,79,122,610
CA,9,134,258,1889,0,7,9,71,3,36,61,464,1,36,47,448,0,6,9,75,0,0,0,0,5,61,95,542,9,85,87,494,24,313,446,3119
CA,0,61,76,339,0,1,3,6,0,8,16,91,0,0,0,0,0,0,0,0,0,1,0,2,2,34,56,295,0,12,13,61,0,88,76,278
CA,70,806,1168,6636,18,183,257,1470,10,171,192,1167,0,69,103,643,2,33,42,316,0,10,21,92,0,97,70,567,20,513,677,4073,3,49,79,461
CA,1,36,59,352,0,5,5,33,0,7,14,107,0,0,14,83,0,7,0,9,0,1,0,5,1,3,30,174,1,8,11,65,3,9,83,396
CA,11,151,172,1580,0,22,14,185,1,70,90,595,5,38,36,255,0,3,5,28,0,0,0,1,15,184,130,805,6,181,170,1147,14,152,141,822
CA,1,1,4,14,0,0,0,0,0,0,0,0,1,3,0,4,0,3,0,5,0,0,0,0,0,2,2,6,0,0,0,2,1,13,8,56
CA,9,35,23,217,0,0,0,5,3,16,11,96,2,13,9,74,2,5,2,35,0,1,1,3,5,15,7,67,3,20,15,124,20,127,67,671
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
CA,2,13,11,66,0,0,0,1,0,1,5,16,0,3,3,14,0,4,0,7,0,0,0,2,1,4,3,13,5,11,16,51,17,64,58,565
CA,57,417,489,2903,8,47,58,333,2,54,68,509,0,4,1,10,2,9,4,35,2,7,3,28,0,31,18,195,11,77,72,436,0,3,8,50
CA,5,42,38,243,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,3,7,25,36,181,168,889
CA,0,4,8,63,0,1,4,6,1,4,5,20,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,3,6,18,0,0,0,0
CA,79,483,487,3278,3,13,12,85,8,47,58,349,6,33,26,209,0,1,5,22,1,4,2,21,10,41,40,258,31,147,119,781,195,1094,1106,6691
CA,18,201,216,1248,1,6,5,28,0,19,26,152,4,27,37,179,1,17,31,153,0,2,0,9,6,88,92,527,5,74,86,492,54,847,907,4717
CA,12,629,952,5502,1,29,65,416,2,64,245,1328,0,56,170,876,0,2,8,47,0,1,3,34,1,26,38,241,3,66,274,1694,5,55,92,632
CA,1,8,9,99,0,0,0,1,0,2,0,11,2,4,2,22,0,1,1,5,0,0,0,0,0,14,9,79,3,15,11,92,11,53,62,437
CA,1,10,13,128,0,0,0,1,0,2,1,17,6,11,5,38,1,3,3,14,0,2,0,5,2,22,14,124,4,19,14,128,14,81,75,618
CA,0,8,5,53,0,0,0,0,1,5,2,19,4,8,3,18,2,4,2,13,0,2,0,5,3,10,8,61,5,8,3,53,7,47,29,305
CA,0,5,6,29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,22,0,0,0,0
CA,0,2,2,6,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,4,0,0,2,5,1,13,20,69
CA,2,85,98,650,0,4,5,29,2,21,24,130,0,10,29,125,0,1,1,6,0,0,0,0,0,4,5,34,1,9,28,115,0,21,24,127
CA,1,6,11,46,0,0,1,1,1,3,5,17,0,2,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,18,141,159,850
CA,40,313,378,2239,2,19,17,142,43,248,210,1344,9,45,35,292,1,12,2,31,0,0,0,1,2,89,215,1395,9,62,57,445,231,1098,1032,5654
CA,4,161,217,1255,0,17,17,108,0,19,36,218,0,21,37,242,0,2,7,21,0,1,3,11,1,6,16,66,1,86,110,625,1,45,91,493
CA,15,72,106,449,0,0,0,7,3,14,29,166,3,16,21,91,0,0,0,0,0,0,1,2,5,16,11,77,2,22,19,118,119,479,444,2603
CA,2,48,69,275,0,6,4,17,0,0,4,16,2,4,11,45,0,0,0,0,0,0,0,0,0,6,4,25,2,40,41,189,0,0,3,8
CA,5,37,54,264,0,2,1,6,0,3,0,8,1,4,4,28,0,0,1,9,0,1,0,3,0,1,1,3,4,8,1,24,8,38,32,240
CA,0,5,11,35,0,1,0,2,0,5,1,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,1,14,22,108,0,0,0,5
CA,0,10,33,170,0,0,1,2,0,0,4,20,0,1,14,65,0,1,8,49,0,0,0,0,0,3,8,44,0,8,28,103,0,46,153,713
CA,9,51,46,320,2,2,0,7,3,11,9,73,3,13,8,87,1,5,2,37,0,5,0,7,6,28,23,254,5,30,23,153,52,242,154,1258
CA,0,1,0,13,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,10,0,7,15,115
CA,27,135,157,817,0,1,3,9,1,9,9,53,6,35,34,187,0,1,7,27,0,0,0,2,11,49,34,237,9,35,22,220,65,371,408,2146
CA,143,775,864,4856,5,33,42,261,14,140,179,1092,14,123,134,713,4,24,24,132,0,1,4,22,16,236,374,1847,59,346,411,2127,402,2562,2925,15405
CA,39,110,79,598,1,4,2,12,4,17,11,75,4,32,23,149,3,5,10,48,0,0,0,5,5,27,27,175,7,41,31,225,78,469,433,2647
CA,2,32,59,343,0,1,3,19,1,11,10,123,0,14,16,183,0,0,0,2,0,3,0,6,6,133,230,1498,3,37,42,302,0,10,14,149
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
