Name,City,State,Zip,County,IsPrivate,Level,LowGrade,HighGrade,RankStars,PupilTeacherRatio
Beech Tree Elementary,Falls Church,VA,22042,Fairfax County,False,Elementary,PK,5,2,13.5
Davis Career Center,Falls Church,VA,22043,Fairfax County,False,,,,n/a,0.0
Bailey's Upper Elementary School for the Arts and Sciences,Falls Church,VA,22044,Fairfax County,False,Elementary,3,5,0,13.1
Acton Academy Falls Church,Falls Church,VA,22046,Falls Church city,True,Private,3,5,n/a,2.0
Fort Belvoir Elementary,Fort Belvoir,VA,22060,Fairfax County,False,Elementary,PK,2,n/a,14.7
Forestville Elementary,Great Falls,VA,22066,Fairfax County,False,Elementary,PK,6,5,15.2
Gunston Elementary,Lorton,VA,22079,Fairfax County,False,Elementary,PK,6,4,15.4
Brooksfield School,McLean,VA,22101,Fairfax County,True,Private,PK,K,n/a,3.6
Ambleside School,McLean,VA,22102,Fairfax County,True,Private,K,8,n/a,10.6
N Virginia Regional Special Educational Pgm,Manassas,VA,22108,Prince William County,False,,,,n/a,Unknown
Dominion Christian School,Oakton,VA,22124,Fairfax County,True,Private,K,6,n/a,9.2
Al-Qalam Academy,Springfield,VA,22150,Fairfax County,True,Private,PK,12,n/a,4.2
Best Academy,Springfield,VA,22151,Fairfax County,True,Private,2,11,n/a,n/a
Accotink Academy,Springfield,VA,22152,Fairfax County,True,Private,1,12,n/a,8.0
Angelus Academy,Springfield,VA,22153,Fairfax County,True,Private,PK,8,n/a,9.2
Calvary Christian School,Triangle,VA,22172,Prince William County,True,Private,PK,12,n/a,9.0
Appletree II School,Vienna,VA,22180,Fairfax County,True,Private,PK,K,n/a,4.1
Flint Hill Elementary,Vienna,VA,22181,Fairfax County,False,Elementary,PK,6,5,15.2
Chesterbrook Academy #1160,Vienna,VA,22182,Fairfax County,True,Private,PK,K,n/a,n/a
Belmont Elementary,Woodbridge,VA,22191,Prince William County,False,Elementary,PK,5,2,14.7
Antietam Elementary,Woodbridge,VA,22192,Prince William County,False,Elementary,PK,5,3,15.8
Bel Air Elementary,Woodbridge,VA,22193,Prince William County,False,Elementary,PK,5,1,11.8
Arlington Montessori House,Arlington,VA,22201,Arlington County,True,Private,PK,K,n/a,8.0
Oakridge Elementary,Arlington,VA,22202,Arlington County,False,Elementary,PK,5,3,15.2
Barrett Elementary,Arlington,VA,22203,Arlington County,False,Elementary,PK,5,1,9.3
Alice West Fleet Elementary,Arlington,VA,22204,Arlington County,False,Elementary,PK,5,3,8.9
Arlington Traditional,Arlington,VA,22205,Arlington County,False,Elementary,PK,5,5,13.8
Abingdon Elementary,Arlington,VA,22206,Arlington County,False,Elementary,PK,5,2,11.5
Chesterbrook Montessori School,Arlington,VA,22207,Arlington County,True,Private,PK,K,n/a,2.0
Eunice Kennedy Shriver Program,Arlington,VA,22209,Arlington County,False,,,,n/a,0.0
Bishop Denis J. Oconnell High School,Arlington,VA,22213,Arlington County,True,Private,9,12,n/a,11.4
Commonwealth Academy,Alexandria,VA,22301,Alexandria city,True,Private,3,12,n/a,5.8
Alexandria City High School,Alexandria,VA,22302,Alexandria city,False,High,9,12,0,13.9
Burgundy Farm Country Day School,Alexandria,VA,22303,Fairfax County,True,Private,PK,8,n/a,n/a
Card Academy Alexandria,Alexandria,VA,22304,Alexandria city,True,Private,K,10,n/a,7.2
Cora Kelly School for Math Science and Technology,Alexandria,VA,22305,Alexandria city,False,Elementary,PK,5,1,10.9
Achievement Integrity And Maturity Bryant,Alexandria,VA,22306,Fairfax County,False,,,,n/a,0.0
Belle View Elementary,Alexandria,VA,22307,Fairfax County,False,Elementary,PK,6,2,12.1
Fort Hunt Elementary,Alexandria,VA,22308,Fairfax County,False,Elementary,PK,6,3,13.8
Brentwood Academy,Alexandria,VA,22309,Fairfax County,True,Private,PK,2,n/a,n/a
